t (sec)	y (voltage)
14.35	-1.0426
14.4	-0.8281
14.45	-0.9728
14.5	-0.9919
14.55	-0.8968
14.6	-1.209
14.65	-0.7862
14.7	-1.1341
14.75	-0.9943
14.8	-1.0545
14.85	-0.9776
14.9	-1.2917
14.95	-0.7714
15	-0.9181
15.05	-0.6985
15.1	-0.7875
15.15	-0.9983
15.2	-1.1409
15.25	-1.2608
15.3	-0.9975
15.35	-0.9671
15.4	-0.8431
15.45	-1.1426
15.5	-0.8808
15.55	-0.9893
15.6	-1.1161
15.65	-0.8839
15.7	-0.9602
15.75	-1.0353
15.8	-0.7184
15.85	-0.9086
15.9	-1.0165
15.95	-0.9584
16	-0.9869
16.05	1.026
16.1	1.068
16.15	0.9095
16.2	0.8804
16.25	1.0541
16.3	1.2828
16.35	0.954
16.4	0.8481
16.45	0.9642
16.5	0.9274
16.55	0.9509
16.6	1.0713
16.65	0.9805
16.7	0.9108
16.75	0.9334
16.8	0.8016
16.85	0.8711
16.9	0.788
16.95	0.9226
17	0.8372
17.05	0.8939
17.1	0.9548
17.15	0.8199
17.2	0.9971
17.25	1.0511
17.3	0.8555
17.35	1.1671
17.4	0.7621
17.45	0.9412
17.5	0.7773
17.55	0.9483
17.6	0.8014
17.65	0.9138
17.7	0.8889
17.75	0.8222
17.8	0.6903
17.85	1.0848
17.9	1.3
17.95	1.3335
18	0.9262
18.05	0.9931
18.1	0.9301
18.15	1.0114
18.2	0.8622
18.25	0.7121
18.3	0.9945
18.35	0.8162
18.4	0.7146
18.45	1.3561
18.5	0.965
18.55	1.0606
18.6	1.1789
18.65	0.7473
18.7	1.062
18.75	1.0753
18.8	1.0125
